11:30 AM	228 (P. Larrouy-Maestri) From opera to pop: Do we all like the same voices?	337 (L. Reymore) Color and Tone Color: Audio-visual Crossmodal Correspondences with Musical Instrument Timbre	98 (J. Cespedes-Guevara) Discrete Emotions Emerge from Violation of Musical Expectancies and Contextual Information	175 (L. Trainor et al.) LIVELab Symposium 
11:45 AM	232 (E. Greenspon) The Roles of Pitch Imagery and Pitch Short-term Memory in Vocal Pitch Imitation	105 (C. Saitis) Spectrotemporal modulation timbre cues in musical dynamics	284 (M. Curtis) Musical Taste and Identity: Favorite Songs May Provide Cues About Personal Characteristics of the Listener	1751
12:00 PM	20 (L.Fostick) The effect of music tempo and tonality on speech perception	125 (D. Kowalewski) A Reinvestigation of the Source Dilemma Hypothesis	341 (E. Kinghorn) Personal music listening for emotion regulation: Distinguishing primary from secondary motives	1752
12:15 PM	251 (M. Weiss) Enhanced memory for vocal music does not involve the motor system	320 (T. Agrawal) Hearing water temperature: A case study in the development of extracting meaning from sound	209 (K. Olsen) Effects of violent music on psychophysiological desensitisation to real-life acts of violence	1753
12:30 PM	211 (P. Larrouy-Maestri)The perception of scoops in judgments of singing performances	276 (J. Merrill)The aesthetic experience of live concerts reflected in psychophysiological reactions	324 (T. Agrawal) The moral consequences of music: Cognitive bases of the link between music and prosocial behavior	1754
12:45 PM	292 (M. Heyne) Simultaneous dual-plane, real-time magnetic resonance imaging videos of the vocal tract in advanced trombone players show a close coupling of movements measured in different planes	309 (H. Ho) Perspectival Listening: Analysis of Acousmatic music via an Embodiment Approach	135 (M. Powell) Emotional, cognitive, and social functions and outcomes of violent music	
				
2:30 PM	182 (A. Kasdan) Inter-brain synchrony in a piano trio: Mobile EEG evidence	197 (V. Cheung) Model-based fMRI reveals modulation of reward network activity to predictions in tonal harmony	65 (S. Hegde) Evaluation of Facial, Musical and Prosody Emotion Recognition in Patients with Parkinson’s Disease	205 (F. Dege et al.) Music Training and Executive Function Symposium, 2051
2:45 PM	297 (P. Tranchant) Joint synchrony, temporal variability and performance rates	58 (C. Pages) Can musical training change the perception of dissonance? A study about broken harmonic expectations	240 (L. Hess) Recognizing Facial Emotion during Shared Music Listening Experiences in Individuals with Autism Spectrum Disorders	2052
3:00 PM	322 (A. Demos) Using a bidirectional delay-coupled dynamical model to understand synchronization in joint music performance	99 (C. Krumhansl) Harmonic Attraction: Flexible Local and Global Processing	107 (Y. N. F. Leung) Priming effects of speech and song on facial emotion recognition: A comparative study between individuals with congenital amusia and high autistic traits	2053
3:15 PM	234 (M. Setzler) Quantifying Coordination in Improvising Piano Duos	173 (D. Vuvan) Style impacts listeners’ tonal-harmonic representation of Western music	346 (M. Moreno) The Effects of Real-Time Emotions and Music on Emotion Regulation During a Reading Comprehension Task	2054
				
3:45 PM	152 (R. de Fleurian) Musical chills: Effects of stimulus properties, stylistic preference and familiarity	166 (P. Loui) Musical Instrument Practice Predicts White Matter Microstructure and Cognitive Abilities in Childhood	144 (S. Norman-Haignere) Neural selectivity for music, speech, and song in human auditory cortex	46 (K. Jakubowski et al.) Music-Evoked Autobiographical Memories Symposium, 461
4:00 PM	198 (S. Bannister) What Causes Musical Chills? Testing Theories of Auditory Looming and Fear	74 (S. Hennessy) Effects of Music Training on Inhibitory Control and Associated Neural Networks in School-Aged Children: A Longitudinal Study	148 (T. Regev) Statistical context sensitivity of ERP components in an unattended tone sequence	462
4:15 PM	120 (L Warrenburg) Melancholy versus Grief: Has research on musical “sadness” conflated two different affective states?	293 (P. Cooper) It's all in your head: a meta-analysis on the effects of music training on cognitive measure in schoolchildren	274 (B. Maxwell) Maurice Ravel’s Sonatine and Computational Models of the Midbrain: A Study of Discriminability	463
4:30 PM	354 (D. Huron) On the Enjoyment of Sad Music: Pleasurable Compassion Theory and the Role of Trait Empathy	210 (S. Hutchins) Do young children synchronize better with music or a metronome?	313 (C. Pelofi) Tracking musical tension properties in naturalistic listening conditions: decoding intracranial EEG signal	464
